question_text,document_title,language,annotations,document_plaintext,document_url,question_text_tokenized,document_plaintext_tokenized,label,word_frequency_score,logres_pred,bi_lstm_2b_preds,bi_lstm_3e_preds,logres_pred_bigram
What is a way to increase your wound healing speed?,Wound healing,english,"{'answer_start': array([51]), 'answer_text': array(['cleaning and protection from reinjury or infection'], dtype=object)}","Wound care encourages and speeds wound healing via cleaning and protection from reinjury or infection. Depending on each patient's needs, it can range from the simplest first aid to entire nursing specialties such as wound, ostomy, and continence nursing and burn center care.",https://en.wikipedia.org/wiki/Wound%20healing,"['What', 'is', 'a', 'way', 'to', 'increase', 'your', 'wound', 'healing', 'speed', '?']","['Wound', 'care', 'encourages', 'and', 'speeds', 'wound', 'healing', 'via', 'cleaning', 'and', 'protection', 'from', 'reinjury', 'or', 'infection.', 'Depending', 'on', 'each', 'patient', ""'s"", 'needs', ',', 'it', 'can', 'range', 'from', 'the', 'simplest', 'first', 'aid', 'to', 'entire', 'nursing', 'specialties', 'such', 'as', 'wound', ',', 'ostomy', ',', 'and', 'continence', 'nursing', 'and', 'burn', 'center', 'care', '.']",1,0.2727272727272727,0,0,1,0
Who founded the Burntisland Shipbuilding Company?,Burntisland Shipbuilding Company,english,"{'answer_start': array([0]), 'answer_text': array(['Brothers Amos and Wilfrid Ayre'], dtype=object)}","Brothers Amos and Wilfrid Ayre founded Burntisland Shipbuilding Co. in 1918 as a First World War emergency shipyard.[1] Its yard at Burntisland West Dock had four berths and capacity to build ships up to 450 feet (140m) long[1] and up to 59 feet (18m) beam.[3] However, until the 1950s Burntisland built relatively few vessels more than about 425 feet (130m) long and 57 feet (17.4m) beam.",https://en.wikipedia.org/wiki/Burntisland%20Shipbuilding%20Company,"['Who', 'founded', 'the', 'Burntisland', 'Shipbuilding', 'Company', '?']","['Brothers', 'Amos', 'and', 'Wilfrid', 'Ayre', 'founded', 'Burntisland', 'Shipbuilding', 'Co.', 'in', '1918', 'as', 'a', 'First', 'World', 'War', 'emergency', 'shipyard.', '[', '1', ']', 'Its', 'yard', 'at', 'Burntisland', 'West', 'Dock', 'had', 'four', 'berths', 'and', 'capacity', 'to', 'build', 'ships', 'up', 'to', '450', 'feet', '(', '140m', ')', 'long', '[', '1', ']', 'and', 'up', 'to', '59', 'feet', '(', '18m', ')', 'beam.', '[', '3', ']', 'However', ',', 'until', 'the', '1950s', 'Burntisland', 'built', 'relatively', 'few', 'vessels', 'more', 'than', 'about', '425', 'feet', '(', '130m', ')', 'long', 'and', '57', 'feet', '(', '17.4m', ')', 'beam', '.']",1,0.5714285714285714,1,1,1,1
What is the surface area of the human cortex?,Cerebral cortex,english,"{'answer_start': array([295]), 'answer_text': array(['2.3–2.8mm'], dtype=object)}","For species of mammals, larger brains (in absolute terms, not just in relation to body size) tend to have thicker cortices.[6] The smallest mammals, such as shrews, have a neocortical thickness of about 0.5mm; the ones with the largest brains, such as humans and fin whales, have thicknesses of 2.3–2.8mm. There is an approximately logarithmic relationship between brain weight and cortical thickness.[6]
Magnetic resonance imaging of the brain (MRI) makes it possible to get a measure for the thickness of the human cerebral cortex and relate it to other measures. The thickness of different cortical areas varies but in general, sensory cortex is thinner than motor cortex.[7] One study has found some positive association between the cortical thickness and intelligence.[8]
Another study has found that the somatosensory cortex is thicker in migraine sufferers, though it is not known if this is the result of migraine attacks or the cause of them.[9][10]
A later study using a larger patient population reports no change in the cortical thickness in migraine sufferers.[11]
A genetic disorder of the cerebral cortex, whereby decreased folding in certain areas results in a microgyrus, where there are four layers instead of six, is in some instances seen to be related to dyslexia.",https://en.wikipedia.org/wiki/Cerebral%20cortex,"['What', 'is', 'the', 'surface', 'area', 'of', 'the', 'human', 'cortex', '?']","['For', 'species', 'of', 'mammals', ',', 'larger', 'brains', '(', 'in', 'absolute', 'terms', ',', 'not', 'just', 'in', 'relation', 'to', 'body', 'size', ')', 'tend', 'to', 'have', 'thicker', 'cortices.', '[', '6', ']', 'The', 'smallest', 'mammals', ',', 'such', 'as', 'shrews', ',', 'have', 'a', 'neocortical', 'thickness', 'of', 'about', '0.5mm', ';', 'the', 'ones', 'with', 'the', 'largest', 'brains', ',', 'such', 'as', 'humans', 'and', 'fin', 'whales', ',', 'have', 'thicknesses', 'of', '2.3–2.8mm.', 'There', 'is', 'an', 'approximately', 'logarithmic', 'relationship', 'between', 'brain', 'weight', 'and', 'cortical', 'thickness.', '[', '6', ']', 'Magnetic', 'resonance', 'imaging', 'of', 'the', 'brain', '(', 'MRI', ')', 'makes', 'it', 'possible', 'to', 'get', 'a', 'measure', 'for', 'the', 'thickness', 'of', 'the', 'human', 'cerebral', 'cortex', 'and', 'relate', 'it', 'to', 'other', 'measures.', 'The', 'thickness', 'of', 'different', 'cortical', 'areas', 'varies', 'but', 'in', 'general', ',', 'sensory', 'cortex', 'is', 'thinner', 'than', 'motor', 'cortex.', '[', '7', ']', 'One', 'study', 'has', 'found', 'some', 'positive', 'association', 'between', 'the', 'cortical', 'thickness', 'and', 'intelligence.', '[', '8', ']', 'Another', 'study', 'has', 'found', 'that', 'the', 'somatosensory', 'cortex', 'is', 'thicker', 'in', 'migraine', 'sufferers', ',', 'though', 'it', 'is', 'not', 'known', 'if', 'this', 'is', 'the', 'result', 'of', 'migraine', 'attacks', 'or', 'the', 'cause', 'of', 'them.', '[', '9', ']', '[', '10', ']', 'A', 'later', 'study', 'using', 'a', 'larger', 'patient', 'population', 'reports', 'no', 'change', 'in', 'the', 'cortical', 'thickness', 'in', 'migraine', 'sufferers.', '[', '11', ']', 'A', 'genetic', 'disorder', 'of', 'the', 'cerebral', 'cortex', ',', 'whereby', 'decreased', 'folding', 'in', 'certain', 'areas', 'results', 'in', 'a', 'microgyrus', ',', 'where', 'there', 'are', 'four', 'layers', 'instead', 'of', 'six', ',', 'is', 'in', 'some', 'instances', 'seen', 'to', 'be', 'related', 'to', 'dyslexia', '.']",1,0.6,0,1,1,1
When did the case of R (Factortame Ltd) v Secretary of State for Transport  take place?,R (Factortame Ltd) v Secretary of State for Transport,english,"{'answer_start': array([352]), 'answer_text': array(['December 1988'], dtype=object)}","As from 31 March 1989, fishing vessel registrations under the 1894 Act would lapse and the owners would be required to re-register under the 1988 Act. None of Factortame's vessels could satisfy the new requirements and an action for judicial review was brought by its owners in the Divisional Court of the High Court of Justice of England and Wales in December 1988.",https://en.wikipedia.org/wiki/R%20%28Factortame%20Ltd%29%20v%20Secretary%20of%20State%20for%20Transport,"['When', 'did', 'the', 'case', 'of', 'R', '(', 'Factortame', 'Ltd', ')', 'v', 'Secretary', 'of', 'State', 'for', 'Transport', 'take', 'place', '?']","['As', 'from', '31', 'March', '1989', ',', 'fishing', 'vessel', 'registrations', 'under', 'the', '1894', 'Act', 'would', 'lapse', 'and', 'the', 'owners', 'would', 'be', 'required', 'to', 're-register', 'under', 'the', '1988', 'Act.', 'None', 'of', 'Factortame', ""'s"", 'vessels', 'could', 'satisfy', 'the', 'new', 'requirements', 'and', 'an', 'action', 'for', 'judicial', 'review', 'was', 'brought', 'by', 'its', 'owners', 'in', 'the', 'Divisional', 'Court', 'of', 'the', 'High', 'Court', 'of', 'Justice', 'of', 'England', 'and', 'Wales', 'in', 'December', '1988', '.']",1,0.2631578947368421,0,0,1,0
When was Quezon City founded?,Quezon City,english,"{'answer_start': array([32]), 'answer_text': array(['1939'], dtype=object)}","When Quezon City was created in 1939, the following barrios or sitios: Balingasa, Balintawak, Galas, Kaingin, Kangkong, La Loma, Malamig, Masambong, Matalahib, San Isidro, San Jose, Santol, and Tatalon from Caloocan; Cubao, the western half of Diliman, Kamuning, New Manila, Roxas and San Francisco del Monte from San Juan; Balara, Barangka, the eastern half of Diliman, Jesus de la Peña and Krus na Ligas from Marikina; Libis, Santolan and Ugong Norte from Pasig and some barrios from Montalban and San Mateo were to be given to the new capital city. Instead of opposing them, the six towns willingly gave land to Quezon City in the belief that it would benefit the country's new capital. However, in 1941, the area within Wack Wack Golf and Country Club was reverted to Mandaluyong, and Barangka and Jesus de la Peña to Marikina. In addition, the land of Camp Crame was originally part of San Juan.  On 1 January 1942, President Quezon issued an executive order from the tunnel of Corregidor designating Jorge Vargas Mayor of Greater Manila, a new political entity comprising, aside from Manila proper, Quezon City, Kalookan, Pasay, San Juan, Mandaluyong, Makati, and Parañaque.  Greater Manila would later be expanded to include Las Piñas, Malabon, and Navotas.",https://en.wikipedia.org/wiki/Quezon%20City,"['When', 'was', 'Quezon', 'City', 'founded', '?']","['When', 'Quezon', 'City', 'was', 'created', 'in', '1939', ',', 'the', 'following', 'barrios', 'or', 'sitios', ':', 'Balingasa', ',', 'Balintawak', ',', 'Galas', ',', 'Kaingin', ',', 'Kangkong', ',', 'La', 'Loma', ',', 'Malamig', ',', 'Masambong', ',', 'Matalahib', ',', 'San', 'Isidro', ',', 'San', 'Jose', ',', 'Santol', ',', 'and', 'Tatalon', 'from', 'Caloocan', ';', 'Cubao', ',', 'the', 'western', 'half', 'of', 'Diliman', ',', 'Kamuning', ',', 'New', 'Manila', ',', 'Roxas', 'and', 'San', 'Francisco', 'del', 'Monte', 'from', 'San', 'Juan', ';', 'Balara', ',', 'Barangka', ',', 'the', 'eastern', 'half', 'of', 'Diliman', ',', 'Jesus', 'de', 'la', 'Peña', 'and', 'Krus', 'na', 'Ligas', 'from', 'Marikina', ';', 'Libis', ',', 'Santolan', 'and', 'Ugong', 'Norte', 'from', 'Pasig', 'and', 'some', 'barrios', 'from', 'Montalban', 'and', 'San', 'Mateo', 'were', 'to', 'be', 'given', 'to', 'the', 'new', 'capital', 'city.', 'Instead', 'of', 'opposing', 'them', ',', 'the', 'six', 'towns', 'willingly', 'gave', 'land', 'to', 'Quezon', 'City', 'in', 'the', 'belief', 'that', 'it', 'would', 'benefit', 'the', 'country', ""'s"", 'new', 'capital.', 'However', ',', 'in', '1941', ',', 'the', 'area', 'within', 'Wack', 'Wack', 'Golf', 'and', 'Country', 'Club', 'was', 'reverted', 'to', 'Mandaluyong', ',', 'and', 'Barangka', 'and', 'Jesus', 'de', 'la', 'Peña', 'to', 'Marikina.', 'In', 'addition', ',', 'the', 'land', 'of', 'Camp', 'Crame', 'was', 'originally', 'part', 'of', 'San', 'Juan.', 'On', '1', 'January', '1942', ',', 'President', 'Quezon', 'issued', 'an', 'executive', 'order', 'from', 'the', 'tunnel', 'of', 'Corregidor', 'designating', 'Jorge', 'Vargas', 'Mayor', 'of', 'Greater', 'Manila', ',', 'a', 'new', 'political', 'entity', 'comprising', ',', 'aside', 'from', 'Manila', 'proper', ',', 'Quezon', 'City', ',', 'Kalookan', ',', 'Pasay', ',', 'San', 'Juan', ',', 'Mandaluyong', ',', 'Makati', ',', 'and', 'Parañaque.', 'Greater', 'Manila', 'would', 'later', 'be', 'expanded', 'to', 'include', 'Las', 'Piñas', ',', 'Malabon', ',', 'and', 'Navotas', '.']",1,0.6666666666666666,1,0,1,0
When was the first automated pool cleaner developed?,Automated pool cleaner,english,"{'answer_start': array([48]), 'answer_text': array(['1912'], dtype=object)}","The first swimming pool cleaner was invented in 1912 by Pittsburgh, Pennsylvania local citizen John M. Davison. On November 26, 1912, he submitted a patent application to the United States Patent and Trademark Office entitled ""Cleaning Apparatus For Swimming Pools And The Like,"" patent number 1,056,779 that was issued on March 25, 1913.",https://en.wikipedia.org/wiki/Automated%20pool%20cleaner,"['When', 'was', 'the', 'first', 'automated', 'pool', 'cleaner', 'developed', '?']","['The', 'first', 'swimming', 'pool', 'cleaner', 'was', 'invented', 'in', '1912', 'by', 'Pittsburgh', ',', 'Pennsylvania', 'local', 'citizen', 'John', 'M.', 'Davison.', 'On', 'November', '26', ',', '1912', ',', 'he', 'submitted', 'a', 'patent', 'application', 'to', 'the', 'United', 'States', 'Patent', 'and', 'Trademark', 'Office', 'entitled', '``', 'Cleaning', 'Apparatus', 'For', 'Swimming', 'Pools', 'And', 'The', 'Like', ',', ""''"", 'patent', 'number', '1,056,779', 'that', 'was', 'issued', 'on', 'March', '25', ',', '1913', '.']",1,0.5555555555555556,0,0,1,0
How many units has Agatha Christie sold?,Agatha Christie,english,"{'answer_start': array([109]), 'answer_text': array(['2 billion'], dtype=object)}","Guinness World Records lists Christie as the best-selling novelist of all time. Her novels have sold roughly 2 billion copies, and her estate claims that her works come third in the rankings of the world's most-widely published books,[6] behind only Shakespeare's works and the Bible. According to Index Translationum, she remains the most-translated individual author, having been translated into at least 103 languages.[7] And Then There Were None is Christie's best-selling novel, with 100 million sales to date, making it the world's best-selling mystery ever, and one of the best-selling books of all time.[8] Christie's stage play The Mousetrap holds the world record for longest initial run. It opened at the Ambassadors Theatre in the West End on 25 November 1952, and as of September 2018 is still running after more than 27,000 performances.",https://en.wikipedia.org/wiki/Agatha%20Christie,"['How', 'many', 'units', 'has', 'Agatha', 'Christie', 'sold', '?']","['Guinness', 'World', 'Records', 'lists', 'Christie', 'as', 'the', 'best-selling', 'novelist', 'of', 'all', 'time.', 'Her', 'novels', 'have', 'sold', 'roughly', '2', 'billion', 'copies', ',', 'and', 'her', 'estate', 'claims', 'that', 'her', 'works', 'come', 'third', 'in', 'the', 'rankings', 'of', 'the', 'world', ""'s"", 'most-widely', 'published', 'books', ',', '[', '6', ']', 'behind', 'only', 'Shakespeare', ""'s"", 'works', 'and', 'the', 'Bible.', 'According', 'to', 'Index', 'Translationum', ',', 'she', 'remains', 'the', 'most-translated', 'individual', 'author', ',', 'having', 'been', 'translated', 'into', 'at', 'least', '103', 'languages.', '[', '7', ']', 'And', 'Then', 'There', 'Were', 'None', 'is', 'Christie', ""'s"", 'best-selling', 'novel', ',', 'with', '100', 'million', 'sales', 'to', 'date', ',', 'making', 'it', 'the', 'world', ""'s"", 'best-selling', 'mystery', 'ever', ',', 'and', 'one', 'of', 'the', 'best-selling', 'books', 'of', 'all', 'time.', '[', '8', ']', 'Christie', ""'s"", 'stage', 'play', 'The', 'Mousetrap', 'holds', 'the', 'world', 'record', 'for', 'longest', 'initial', 'run.', 'It', 'opened', 'at', 'the', 'Ambassadors', 'Theatre', 'in', 'the', 'West', 'End', 'on', '25', 'November', '1952', ',', 'and', 'as', 'of', 'September', '2018', 'is', 'still', 'running', 'after', 'more', 'than', '27,000', 'performances', '.']",1,0.25,1,1,1,1
When was Nájera established?,Nájera,english,"{'answer_start': array([59]), 'answer_text': array(['923'], dtype=object)}","The town was conquered by Ordoño II of Leon for Navarre in 923. Nájera was the capital city of the kingdom of Navarre until it was conquered by Castile in 1054 after the battle of Atapuerca. However, it continued to be multi-cultural. For example, in 1142 the French abbot Peter the Venerable used his visit to Spain to commission translations of important Islamic works, including the first translation of the Qur'an into a European language, and it has been suggested he met with his four translators at Nájera.",https://en.wikipedia.org/wiki/N%C3%A1jera,"['When', 'was', 'Nájera', 'established', '?']","['The', 'town', 'was', 'conquered', 'by', 'Ordoño', 'II', 'of', 'Leon', 'for', 'Navarre', 'in', '923.', 'Nájera', 'was', 'the', 'capital', 'city', 'of', 'the', 'kingdom', 'of', 'Navarre', 'until', 'it', 'was', 'conquered', 'by', 'Castile', 'in', '1054', 'after', 'the', 'battle', 'of', 'Atapuerca.', 'However', ',', 'it', 'continued', 'to', 'be', 'multi-cultural.', 'For', 'example', ',', 'in', '1142', 'the', 'French', 'abbot', 'Peter', 'the', 'Venerable', 'used', 'his', 'visit', 'to', 'Spain', 'to', 'commission', 'translations', 'of', 'important', 'Islamic', 'works', ',', 'including', 'the', 'first', 'translation', 'of', 'the', ""Qur'an"", 'into', 'a', 'European', 'language', ',', 'and', 'it', 'has', 'been', 'suggested', 'he', 'met', 'with', 'his', 'four', 'translators', 'at', 'Nájera', '.']",1,0.4,1,1,1,0
When was the Republican People's Party formed in Turkey?,Republican People's Party (Turkey),english,"{'answer_start': array([253]), 'answer_text': array(['9 September 1923'], dtype=object)}","The political party was established during the Sivas Congress in 1919 as a union of resistance groups against the Greek invasion of Anatolia. The union represented Turkish people as a unified front during the Turkish War of Independence (1919–1923). On 9 September 1923, the ""People's Party"" declared itself to be a political organization and on 29 October 1923, announced the establishment of the Turkish Republic. On 10 November 1924, the People's Party renamed itself the ""Republican People's Party"" (CHP) as Turkey moved into a one-party period.",https://en.wikipedia.org/wiki/Republican%20People%27s%20Party%20%28Turkey%29,"['When', 'was', 'the', 'Republican', 'People', ""'s"", 'Party', 'formed', 'in', 'Turkey', '?']","['The', 'political', 'party', 'was', 'established', 'during', 'the', 'Sivas', 'Congress', 'in', '1919', 'as', 'a', 'union', 'of', 'resistance', 'groups', 'against', 'the', 'Greek', 'invasion', 'of', 'Anatolia.', 'The', 'union', 'represented', 'Turkish', 'people', 'as', 'a', 'unified', 'front', 'during', 'the', 'Turkish', 'War', 'of', 'Independence', '(', '1919–1923', ')', '.', 'On', '9', 'September', '1923', ',', 'the', '``', 'People', ""'s"", 'Party', ""''"", 'declared', 'itself', 'to', 'be', 'a', 'political', 'organization', 'and', 'on', '29', 'October', '1923', ',', 'announced', 'the', 'establishment', 'of', 'the', 'Turkish', 'Republic.', 'On', '10', 'November', '1924', ',', 'the', 'People', ""'s"", 'Party', 'renamed', 'itself', 'the', '``', 'Republican', 'People', ""'s"", 'Party', ""''"", '(', 'CHP', ')', 'as', 'Turkey', 'moved', 'into', 'a', 'one-party', 'period', '.']",1,0.7272727272727273,1,1,1,1
When was the Normandy Campaign?,Operation Overlord,english,"{'answer_start': array([208]), 'answer_text': array(['6 June 1944'], dtype=object)}","Operation Overlord was the codename for the Battle of Normandy, the Allied operation that launched the successful invasion of German-occupied Western Europe during World War II. The operation was launched on 6 June 1944 with the Normandy landings (Operation Neptune, commonly known as D-Day). A 1,200-plane airborne assault preceded an amphibious assault involving more than 5,000 vessels. Nearly 160,000 troops crossed the English Channel on 6 June, and more than two million Allied troops were in France by the end of August.",https://en.wikipedia.org/wiki/Operation%20Overlord,"['When', 'was', 'the', 'Normandy', 'Campaign', '?']","['Operation', 'Overlord', 'was', 'the', 'codename', 'for', 'the', 'Battle', 'of', 'Normandy', ',', 'the', 'Allied', 'operation', 'that', 'launched', 'the', 'successful', 'invasion', 'of', 'German-occupied', 'Western', 'Europe', 'during', 'World', 'War', 'II.', 'The', 'operation', 'was', 'launched', 'on', '6', 'June', '1944', 'with', 'the', 'Normandy', 'landings', '(', 'Operation', 'Neptune', ',', 'commonly', 'known', 'as', 'D-Day', ')', '.', 'A', '1,200-plane', 'airborne', 'assault', 'preceded', 'an', 'amphibious', 'assault', 'involving', 'more', 'than', '5,000', 'vessels.', 'Nearly', '160,000', 'troops', 'crossed', 'the', 'English', 'Channel', 'on', '6', 'June', ',', 'and', 'more', 'than', 'two', 'million', 'Allied', 'troops', 'were', 'in', 'France', 'by', 'the', 'end', 'of', 'August', '.']",1,0.5,0,1,0,0
